,ego,pro
595,24.0,49.0
596,24.0,101.0
597,24.0,49.0
598,24.0,102.0
599,24.0,100.0
600,24.0,51.0
601,24.0,51.0
602,24.0,46.0
603,24.0,135.0
604,24.0,128.0
605,24.0,115.0
606,24.0,93.0
607,24.0,93.0
608,24.0,93.0
609,24.0,90.0
610,24.0,149.0
611,24.0,139.0
612,24.0,121.0
613,24.0,121.0
614,24.0,146.0
615,24.0,81.0
616,24.0,120.0
617,24.0,148.0
618,24.0,84.0
619,24.0,134.0
620,24.0,84.0
621,24.0,119.0
622,24.0,123.0
623,24.0,97.0
624,24.0,97.0
625,24.0,88.0
626,24.0,90.0
627,24.0,141.0
628,24.0,141.0
629,24.0,134.0
630,24.0,134.0
631,24.0,95.0
632,24.0,125.0
633,24.0,123.0
634,24.0,96.0
635,24.0,106.0
636,24.0,102.0
637,24.0,123.0
638,24.0,87.0
639,24.0,89.0
640,24.0,96.0
641,24.0,96.0
642,24.0,92.0
643,24.0,77.0
644,24.0,77.0
645,25.0,102.0
646,24.0,56.0
647,24.0,55.0
648,25.0,103.0
649,24.0,88.0
650,27.0,58.0
651,24.0,115.0
652,24.0,113.0
653,27.0,94.0
654,24.0,94.0
655,25.0,116.0
656,24.0,94.0
657,27.0,131.0
658,24.0,112.0
659,24.0,73.0
660,30.0,75.0
661,31.0,72.0
662,27.0,131.0
663,30.0,77.0
664,30.0,53.0
665,31.0,55.0
666,27.0,73.0
667,24.0,57.0
668,30.0,79.0
669,31.0,58.0
670,27.0,79.0
671,24.0,68.0
672,31.0,87.0
673,27.0,66.0
674,24.0,68.0
675,27.0,68.0
676,24.0,129.0
677,30.0,75.0
678,31.0,120.0
679,27.0,69.0
680,24.0,69.0
681,30.0,123.0
682,30.0,88.0
683,31.0,124.0
684,27.0,72.0
685,24.0,127.0
686,24.0,72.0
687,30.0,66.0
688,31.0,66.0
689,31.0,88.0
690,31.0,134.0
691,27.0,96.0
692,24.0,73.0
693,24.0,76.0
694,30.0,129.0
695,27.0,98.0
696,30.0,73.0
697,30.0,98.0
698,30.0,76.0
699,27.0,73.0
700,30.0,74.0
701,30.0,71.0
702,24.0,76.0
703,24.0,68.0
704,24.0,61.0
705,24.0,69.0
706,24.0,61.0
707,24.0,146.0
708,24.0,115.0
709,24.0,68.0
710,24.0,72.0
711,24.0,155.0
712,24.0,68.0
713,24.0,48.0
714,24.0,155.0
715,24.0,51.0
716,24.0,120.0
717,24.0,53.0
718,24.0,116.0
719,24.0,83.0
720,24.0,56.0
721,24.0,57.0
722,24.0,47.0
723,24.0,88.0
724,24.0,157.0
725,24.0,87.0
726,24.0,45.0
727,24.0,89.0
728,24.0,150.0
729,24.0,49.0
730,24.0,79.0
731,24.0,117.0
732,24.0,161.0
733,24.0,88.0
734,24.0,65.0
735,24.0,54.0
736,24.0,126.0
737,24.0,54.0
738,24.0,110.0
739,24.0,107.0
740,24.0,109.0
741,24.0,109.0
742,24.0,110.0
743,24.0,68.0
744,24.0,109.0
745,24.0,70.0
746,24.0,196.0
747,31.0,193.0
748,24.0,101.0
749,26.0,184.0
750,26.0,95.0
751,26.0,84.0
752,24.0,132.0
753,26.0,132.0
754,26.0,82.0
755,24.0,187.0
756,24.0,187.0
757,26.0,104.0
758,26.0,89.0
759,31.0,163.0
760,24.0,104.0
761,26.0,144.0
762,26.0,103.0
763,31.0,103.0
764,26.0,92.0
765,31.0,149.0
766,24.0,92.0
767,26.0,144.0
768,26.0,96.0
769,26.0,188.0
770,31.0,96.0
771,24.0,93.0
772,26.0,173.0
773,26.0,89.0
774,31.0,164.0
775,24.0,115.0
776,26.0,128.0
777,31.0,66.0
778,31.0,52.0
779,24.0,52.0
780,26.0,34.0
781,26.0,102.0
782,26.0,141.0
783,31.0,34.0
784,24.0,102.0
785,26.0,133.0
786,26.0,36.0
787,24.0,103.0
788,24.0,125.0
789,26.0,38.0
790,31.0,149.0
791,24.0,146.0
792,24.0,44.0
793,24.0,100.0
794,31.0,116.0
795,24.0,45.0
796,24.0,100.0
797,24.0,116.0
798,31.0,44.0
799,24.0,42.0
800,24.0,119.0
801,24.0,152.0
802,24.0,40.0
803,24.0,153.0
804,24.0,40.0
805,24.0,114.0
806,25.0,146.0
807,24.0,102.0
808,24.0,42.0
809,24.0,137.0
810,25.0,97.0
811,25.0,42.0
812,24.0,126.0
813,24.0,98.0
814,25.0,74.0
815,24.0,124.0
816,24.0,75.0
817,25.0,124.0
818,25.0,75.0
819,24.0,132.0
820,24.0,113.0
821,25.0,71.0
822,24.0,129.0
823,24.0,104.0
824,25.0,126.0
825,30.0,100.0
826,25.0,80.0
827,25.0,101.0
828,30.0,65.0
829,25.0,76.0
830,30.0,71.0
831,24.0,69.0
832,30.0,66.0
833,24.0,59.0
834,25.0,95.0
835,30.0,57.0
836,24.0,93.0
837,25.0,91.0
838,30.0,91.0
839,24.0,50.0
840,25.0,89.0
841,30.0,88.0
842,56.0,90.0
843,24.0,77.0
844,24.0,83.0
845,24.0,75.0
846,30.0,57.0
847,56.0,74.0
848,24.0,60.0
849,24.0,74.0
850,30.0,79.0
851,56.0,63.0
852,24.0,59.0
853,30.0,63.0
854,56.0,62.0
855,24.0,60.0
856,24.0,60.0
857,24.0,54.0
858,30.0,46.0
859,56.0,99.0
860,24.0,45.0
861,25.0,99.0
862,30.0,72.0
863,56.0,45.0
864,24.0,72.0
865,25.0,72.0
866,24.0,72.0
867,25.0,45.0
868,63.0,108.0
869,24.0,72.0
870,25.0,47.0
871,63.0,93.0
872,25.0,55.0
873,24.0,41.0
874,25.0,90.0
875,62.0,33.0
876,26.0,33.0
877,25.0,95.0
878,62.0,33.0
879,45.0,33.0
880,26.0,94.0
881,26.0,98.0
882,25.0,78.0
883,62.0,78.0
884,45.0,99.0
885,26.0,183.0
886,25.0,81.0
887,62.0,183.0
888,45.0,77.0
889,25.0,87.0
890,26.0,66.0
891,46.0,66.0
892,25.0,94.0
893,36.0,93.0
894,26.0,205.0
895,46.0,77.0
896,24.0,207.0
897,36.0,77.0
898,26.0,208.0
899,46.0,208.0
900,24.0,80.0
901,36.0,88.0
902,46.0,207.0
903,26.0,82.0
904,46.0,82.0
905,24.0,162.0
906,36.0,84.0
907,26.0,89.0
908,46.0,128.0
909,24.0,163.0
910,37.0,120.0
911,26.0,87.0
912,37.0,111.0
913,26.0,167.0
914,24.0,87.0
915,46.0,93.0
916,34.0,111.0
917,24.0,99.0
918,30.0,111.0
919,46.0,94.0
920,34.0,92.0
921,30.0,112.0
922,46.0,91.0
923,34.0,181.0
924,30.0,182.0
925,25.0,80.0
926,34.0,124.0
927,24.0,109.0
928,24.0,98.0
929,31.0,121.0
930,25.0,104.0
931,34.0,101.0
932,24.0,86.0
933,31.0,78.0
934,24.0,78.0
935,34.0,94.0
936,24.0,112.0
937,31.0,70.0
938,34.0,94.0
939,34.0,112.0
940,24.0,41.0
941,26.0,98.0
942,24.0,72.0
943,25.0,41.0
944,34.0,80.0
945,24.0,94.0
946,27.0,40.0
947,25.0,80.0
948,24.0,75.0
949,27.0,41.0
950,34.0,70.0
951,34.0,76.0
952,24.0,43.0
953,26.0,69.0
954,25.0,106.0
955,24.0,77.0
956,34.0,74.0
957,24.0,74.0
958,26.0,93.0
959,25.0,70.0
960,25.0,66.0
961,24.0,81.0
962,26.0,56.0
963,25.0,100.0
964,24.0,57.0
965,24.0,91.0
966,26.0,57.0
967,24.0,84.0
968,24.0,46.0
969,26.0,84.0
970,25.0,39.0
971,26.0,36.0
972,26.0,103.0
973,24.0,89.0
974,26.0,37.0
975,26.0,79.0
976,26.0,109.0
977,24.0,35.0
978,24.0,103.0
979,24.0,44.0
980,24.0,89.0
981,24.0,91.0
982,24.0,72.0
983,26.0,93.0
984,25.0,94.0
985,24.0,93.0
986,24.0,79.0
987,26.0,93.0
988,26.0,77.0
989,25.0,90.0
990,24.0,76.0
991,25.0,58.0
992,24.0,58.0
993,25.0,56.0
994,25.0,58.0
995,24.0,55.0
996,26.0,49.0
997,24.0,115.0
998,25.0,55.0
999,25.0,59.0
1000,26.0,59.0
1001,24.0,119.0
1002,25.0,56.0
1003,26.0,106.0
1004,25.0,117.0
1005,24.0,57.0
1006,25.0,58.0
1007,26.0,52.0
1008,24.0,58.0
1009,24.0,52.0
1010,25.0,114.0
1011,25.0,52.0
1012,25.0,42.0
1013,24.0,65.0
1014,25.0,41.0
1015,26.0,61.0
1016,25.0,39.0
1017,24.0,64.0
1018,25.0,131.0
1019,25.0,41.0
1020,24.0,151.0
1021,24.0,58.0
1022,25.0,41.0
1023,25.0,132.0
1024,24.0,151.0
1025,24.0,44.0
1026,24.0,43.0
1027,25.0,119.0
1028,24.0,49.0
1029,24.0,93.0
1030,24.0,161.0
1031,28.0,52.0
1032,24.0,158.0
1033,32.0,53.0
1034,32.0,44.0
1035,24.0,158.0
1036,28.0,53.0
1037,24.0,135.0
1038,32.0,44.0
1039,24.0,104.0
1040,28.0,60.0
1041,24.0,51.0
1042,24.0,125.0
1043,24.0,103.0
1044,28.0,103.0
1045,24.0,56.0
1046,31.0,125.0
1047,24.0,120.0
1048,24.0,65.0
1049,28.0,64.0
1050,31.0,121.0
1051,24.0,67.0
1052,28.0,129.0
1053,24.0,126.0
1054,31.0,97.0
1055,31.0,67.0
1056,28.0,114.0
1057,24.0,97.0
1058,24.0,98.0
1059,31.0,112.0
1060,24.0,90.0
1061,28.0,88.0
1062,28.0,118.0
1063,24.0,88.0
1064,24.0,128.0
1065,28.0,89.0
1066,31.0,101.0
1067,24.0,81.0
1068,24.0,118.0
1069,31.0,99.0
1070,24.0,81.0
1071,25.0,108.0
1072,28.0,89.0
1073,24.0,108.0
1074,31.0,112.0
1075,24.0,111.0
1076,24.0,109.0
1077,28.0,98.0
1078,24.0,89.0
1079,31.0,98.0
1080,24.0,110.0
1081,24.0,82.0
1082,24.0,98.0
1083,24.0,116.0
1084,24.0,95.0
1085,25.0,120.0
1086,24.0,92.0
1087,24.0,114.0
1088,24.0,90.0
1089,24.0,114.0
1090,24.0,74.0
1091,24.0,96.0
1092,24.0,69.0
1093,24.0,96.0
1094,24.0,48.0
1095,24.0,96.0
1096,24.0,87.0
1097,24.0,53.0
1098,24.0,130.0
1099,24.0,87.0
1100,24.0,59.0
1101,24.0,136.0
1102,24.0,84.0
1103,24.0,98.0
1104,24.0,126.0
1105,24.0,71.0
1106,24.0,120.0
1107,24.0,63.0
1108,24.0,62.0
1109,24.0,120.0
1110,24.0,106.0
1111,24.0,55.0
1112,24.0,106.0
1113,24.0,120.0
1114,24.0,105.0
1115,24.0,105.0
1116,24.0,55.0
1117,24.0,52.0
1118,24.0,127.0
1119,24.0,86.0
1120,24.0,99.0
1121,24.0,84.0
1122,24.0,77.0
1123,24.0,46.0
1124,24.0,79.0
1125,24.0,68.0
1126,27.0,100.0
1127,26.0,100.0
1128,26.0,91.0
1129,24.0,104.0
1130,27.0,47.0
1131,31.0,91.0
1132,26.0,92.0
1133,31.0,65.0
1134,24.0,90.0
1135,27.0,65.0
1136,31.0,107.0
1137,24.0,46.0
1138,27.0,64.0
1139,26.0,108.0
1140,31.0,46.0
1141,24.0,48.0
1142,27.0,114.0
1143,31.0,65.0
1144,26.0,106.0
1145,24.0,75.0
1146,27.0,66.0
1147,27.0,71.0
1148,26.0,110.0
1149,24.0,60.0
1150,27.0,72.0
1151,27.0,64.0
1152,31.0,110.0
1153,26.0,60.0
1154,24.0,108.0
1155,31.0,60.0
1156,26.0,46.0
1157,24.0,46.0
1158,27.0,84.0
1159,31.0,117.0
1160,26.0,103.0
1161,31.0,109.0
1162,24.0,79.0
1163,27.0,54.0
1164,31.0,83.0
1165,26.0,57.0
1166,24.0,84.0
1167,26.0,59.0
1168,25.0,73.0
1169,24.0,87.0
1170,28.0,75.0
1171,32.0,66.0
1172,25.0,108.0
1173,25.0,103.0
1174,24.0,103.0
1175,32.0,72.0
1176,26.0,103.0
1177,24.0,72.0
1178,25.0,74.0
1179,26.0,103.0
1180,24.0,93.0
1181,25.0,82.0
1182,26.0,80.0
1183,25.0,85.0
1184,26.0,79.0
1185,25.0,63.0
1186,25.0,89.0
1187,33.0,62.0
1188,26.0,118.0
1189,25.0,82.0
1190,33.0,62.0
1191,33.0,119.0
1192,26.0,86.0
1193,33.0,81.0
1194,44.0,66.0
1195,26.0,81.0
1196,25.0,58.0
1197,44.0,127.0
1198,26.0,62.0
