,wait
864,22.0
865,20.0
866,19.0
867,18.0
868,22.0
869,20.0
870,19.0
871,19.0
872,18.0
873,21.0
874,20.0
875,18.0
876,16.0
877,17.0
878,18.0
879,13.0
880,18.0
881,15.0
882,13.0
883,15.0
884,19.0
885,13.0
886,21.0
887,16.0
888,20.0
889,13.0
890,15.0
891,19.0
892,21.0
893,13.0
894,15.0
895,20.0
896,21.0
897,13.0
898,20.0
899,16.0
900,21.0
901,11.0
902,20.0
903,20.0
904,15.0
905,11.0
906,21.0
907,16.0
908,19.0
909,12.0
910,16.0
911,19.0
912,21.0
913,17.0
914,19.0
915,14.0
916,20.0
917,14.0
918,19.0
919,18.0
920,20.0
921,14.0
922,19.0
923,18.0
924,14.0
925,21.0
926,18.0
927,21.0
928,14.0
929,20.0
930,20.0
931,19.0
932,15.0
933,20.0
934,20.0
935,18.0
936,15.0
937,20.0
938,17.0
939,21.0
940,15.0
941,17.0
942,22.0
943,20.0
944,15.0
945,17.0
946,23.0
947,21.0
948,16.0
949,18.0
950,15.0
951,20.0
952,26.0
953,17.0
954,20.0
955,15.0
956,26.0
957,18.0
958,14.0
959,20.0
960,27.0
961,18.0
962,20.0
963,14.0
964,18.0
965,28.0
966,21.0
967,17.0
968,17.0
969,31.0
970,19.0
971,17.0
972,17.0
973,31.0
974,16.0
975,16.0
976,17.0
977,16.0
978,16.0
979,32.0
980,17.0
981,17.0
982,16.0
983,33.0
984,17.0
985,17.0
986,18.0
987,34.0
988,17.0
989,17.0
990,17.0
991,30.0
992,16.0
993,17.0
994,17.0
995,16.0
996,28.0
997,18.0
998,18.0
999,29.0
1000,15.0
1001,17.0
1002,29.0
1003,17.0
1004,15.0
1005,15.0
1006,17.0
1007,24.0
1008,14.0
1009,15.0
1010,24.0
1011,16.0
1012,16.0
1013,14.0
1014,16.0
1015,12.0
1016,21.0
1017,16.0
1018,15.0
1019,20.0
1020,12.0
1021,16.0
1022,15.0
1023,13.0
1024,21.0
1025,18.0
1026,15.0
1027,13.0
1028,21.0
1029,18.0
1030,15.0
1031,20.0
1032,13.0
1033,16.0
1034,14.0
1035,20.0
1036,20.0
1037,14.0
1038,16.0
1039,20.0
1040,20.0
1041,14.0
1042,15.0
1043,20.0
1044,19.0
1045,14.0
1046,16.0
1047,21.0
1048,19.0
1049,17.0
1050,20.0
1051,18.0
1052,16.0
1053,21.0
1054,17.0
1055,19.0
1056,17.0
1057,22.0
1058,18.0
1059,21.0
1060,20.0
1061,18.0
1062,21.0
1063,18.0
1064,19.0
1065,20.0
1066,21.0
1067,18.0
1068,17.0
1069,19.0
1070,20.0
1071,18.0
1072,18.0
1073,19.0
1074,20.0
1075,18.0
1076,19.0
1077,18.0
1078,20.0
1079,16.0
1080,18.0
1081,18.0
1082,16.0
1083,22.0
1084,17.0
1085,17.0
1086,16.0
1087,17.0
1088,17.0
1089,20.0
1090,15.0
1091,21.0
1092,17.0
1093,18.0
1094,21.0
1095,14.0
1096,17.0
1097,18.0
1098,15.0
1099,20.0
1100,18.0
1101,14.0
1102,18.0
1103,21.0
1104,18.0
1105,15.0
1106,17.0
1107,17.0
1108,15.0
1109,17.0
1110,18.0
1111,25.0
1112,15.0
1113,17.0
1114,18.0
1115,26.0
1116,14.0
1117,18.0
1118,18.0
1119,27.0
1120,17.0
1121,17.0
1122,25.0
1123,16.0
1124,23.0
1125,17.0
1126,23.0
1127,27.0
1128,16.0
1129,17.0
1130,27.0
1131,15.0
1132,24.0
1133,17.0
1134,16.0
1135,27.0
1136,18.0
1137,25.0
1138,23.0
1139,16.0
1140,16.0
1141,23.0
1142,16.0
1143,26.0
1144,16.0
1145,23.0
1146,15.0
1147,18.0
1148,26.0
1149,22.0
1150,19.0
1151,26.0
1152,15.0
1153,22.0
1154,27.0
1155,17.0
1156,28.0
1157,22.0
1158,23.0
1159,18.0
1160,28.0
1161,17.0
1162,23.0
1163,28.0
1164,18.0
1165,17.0
1166,25.0
1167,16.0
1168,27.0
1169,16.0
1170,25.0
1171,28.0
1172,17.0
1173,20.0
1174,25.0
1175,16.0
1176,20.0
1177,26.0
1178,24.0
1179,24.0
1180,16.0
1181,20.0
1182,25.0
1183,24.0
1184,21.0
1185,23.0
1186,16.0
1187,25.0
1188,21.0
1189,20.0
1190,18.0
1191,25.0
1192,21.0
1193,19.0
1194,21.0
1195,22.0
1196,24.0
1197,21.0
1198,19.0
1199,21.0
1200,22.0
1201,22.0
1202,20.0
1203,27.0
1204,29.0
1205,27.0
1206,24.0
1207,24.0
1208,27.0
1209,23.0
1210,25.0
1211,26.0
1212,22.0
1213,26.0
1214,25.0
1215,19.0
1216,28.0
1217,27.0
1218,25.0
1219,19.0
1220,28.0
1221,22.0
1222,29.0
1223,18.0
1224,29.0
1225,29.0
1226,22.0
1227,29.0
1228,19.0
1229,29.0
1230,22.0
1231,19.0
1232,30.0
1233,29.0
1234,19.0
1235,22.0
1236,28.0
1237,29.0
1238,23.0
1239,19.0
1240,27.0
1241,29.0
1242,20.0
1243,18.0
1244,29.0
1245,27.0
1246,20.0
1247,18.0
1248,29.0
1249,27.0
1250,26.0
1251,21.0
1252,15.0
1253,17.0
1254,28.0
1255,22.0
1256,16.0
1257,21.0
1258,18.0
1259,16.0
1260,21.0
1261,16.0
1262,18.0
1263,16.0
1264,20.0
1265,15.0
1266,19.0
1267,16.0
1268,19.0
1269,15.0
1270,19.0
1271,16.0
1272,16.0
1273,20.0
1274,16.0
1275,20.0
1276,19.0
1277,15.0
1278,16.0
1279,19.0
1280,21.0
1281,16.0
1282,20.0
1283,17.0
1284,18.0
1285,16.0
1286,21.0
1287,19.0
1288,16.0
1289,20.0
1290,19.0
1291,22.0
1292,19.0
1293,16.0
1294,21.0
1295,18.0
1296,19.0
1297,17.0
1298,20.0
1299,15.0
1300,18.0
1301,17.0
1302,16.0
1303,20.0
1304,18.0
1305,16.0
1306,16.0
1307,23.0
1308,19.0
1309,17.0
1310,18.0
1311,21.0
1312,17.0
1313,20.0
1314,18.0
1315,21.0
1316,16.0
1317,20.0
1318,16.0
1319,17.0
1320,20.0
1321,20.0
1322,18.0
1323,19.0
1324,15.0
1325,21.0
1326,17.0
1327,19.0
1328,15.0
1329,23.0
1330,17.0
1331,18.0
1332,21.0
1333,16.0
1334,21.0
1335,17.0
1336,17.0
1337,21.0
1338,21.0
1339,21.0
1340,17.0
1341,17.0
1342,21.0
1343,21.0
1344,18.0
1345,18.0
1346,21.0
1347,20.0
1348,26.0
1349,18.0
1350,21.0
1351,20.0
1352,25.0
1353,20.0
1354,18.0
1355,20.0
1356,18.0
1357,28.0
1358,18.0
1359,18.0
1360,20.0
1361,26.0
1362,17.0
1363,18.0
1364,21.0
1365,18.0
1366,27.0
1367,16.0
1368,21.0
1369,17.0
1370,16.0
1371,18.0
1372,21.0
1373,31.0
1374,18.0
1375,14.0
1376,22.0
1377,30.0
1378,14.0
1379,31.0
1380,23.0
1381,13.0
1382,21.0
1383,30.0
1384,24.0
1385,13.0
1386,23.0
1387,33.0
1388,24.0
1389,12.0
1390,30.0
1391,22.0
1392,28.0
1393,11.0
1394,31.0
1395,28.0
1396,22.0
1397,12.0
1398,20.0
1399,31.0
1400,26.0
1401,19.0
1402,12.0
