,wait
786,19.0
787,28.0
788,14.0
789,20.0
790,19.0
791,21.0
792,18.0
793,19.0
794,25.0
795,27.0
796,16.0
797,29.0
798,21.0
799,18.0
800,16.0
801,26.0
802,18.0
803,17.0
804,26.0
805,25.0
806,18.0
807,25.0
808,17.0
809,23.0
810,17.0
811,23.0
812,21.0
813,21.0
814,18.0
815,20.0
816,24.0
817,18.0
818,21.0
819,19.0
820,22.0
821,21.0
822,21.0
823,21.0
824,17.0
825,19.0
826,19.0
827,21.0
828,18.0
829,18.0
830,14.0
831,21.0
832,21.0
833,22.0
834,23.0
835,20.0
836,19.0
837,22.0
838,30.0
839,20.0
840,22.0
841,31.0
842,31.0
843,20.0
844,15.0
845,31.0
846,20.0
847,21.0
848,15.0
849,19.0
850,22.0
851,17.0
852,32.0
853,18.0
854,23.0
855,32.0
856,16.0
857,19.0
858,30.0
859,23.0
860,18.0
861,19.0
862,30.0
863,23.0
864,19.0
865,20.0
866,29.0
867,20.0
868,27.0
869,19.0
870,23.0
871,20.0
872,26.0
873,21.0
874,26.0
875,21.0
876,22.0
877,19.0
878,19.0
879,22.0
880,19.0
881,19.0
882,18.0
883,19.0
884,16.0
885,23.0
886,22.0
887,17.0
888,19.0
889,27.0
890,23.0
891,23.0
892,25.0
893,26.0
894,21.0
895,17.0
896,17.0
897,27.0
898,17.0
899,25.0
900,21.0
901,16.0
902,27.0
903,26.0
904,19.0
905,26.0
906,16.0
907,25.0
908,25.0
909,17.0
910,16.0
911,25.0
912,24.0
913,17.0
914,17.0
915,23.0
916,16.0
917,26.0
918,15.0
919,27.0
920,19.0
921,15.0
922,17.0
923,24.0
924,25.0
925,19.0
926,18.0
927,16.0
928,27.0
929,16.0
930,20.0
931,18.0
932,27.0
933,15.0
934,13.0
935,20.0
936,28.0
937,16.0
938,12.0
939,18.0
940,24.0
941,12.0
942,25.0
943,18.0
944,16.0
945,12.0
946,18.0
947,24.0
948,16.0
949,12.0
950,18.0
951,11.0
952,17.0
953,20.0
954,22.0
955,11.0
956,21.0
957,17.0
958,23.0
959,11.0
960,17.0
961,21.0
962,23.0
963,11.0
964,23.0
965,19.0
966,20.0
967,21.0
968,18.0
969,16.0
970,11.0
971,22.0
972,17.0
973,18.0
974,17.0
975,19.0
976,18.0
977,18.0
978,22.0
979,18.0
980,18.0
981,21.0
982,19.0
983,19.0
984,21.0
985,21.0
986,21.0
987,20.0
988,19.0
989,20.0
990,22.0
991,21.0
992,23.0
993,24.0
994,25.0
995,20.0
996,21.0
997,22.0
998,23.0
999,22.0
1000,25.0
1001,24.0
1002,20.0
1003,22.0
1004,22.0
1005,26.0
