,wait
912,21.0
913,15.0
914,20.0
915,20.0
916,15.0
917,18.0
918,21.0
919,20.0
920,15.0
921,19.0
922,18.0
923,18.0
924,19.0
925,17.0
926,15.0
927,18.0
928,16.0
929,18.0
930,18.0
931,19.0
932,15.0
933,20.0
934,19.0
935,20.0
936,15.0
937,19.0
938,18.0
939,18.0
940,17.0
941,14.0
942,19.0
943,16.0
944,18.0
945,15.0
946,21.0
947,18.0
948,15.0
949,14.0
950,19.0
951,21.0
952,14.0
953,21.0
954,17.0
955,14.0
956,18.0
957,18.0
958,20.0
959,19.0
960,17.0
961,14.0
962,18.0
963,21.0
964,17.0
965,15.0
966,16.0
967,14.0
968,20.0
969,19.0
970,13.0
971,19.0
972,21.0
973,20.0
974,17.0
975,20.0
976,15.0
977,20.0
978,17.0
979,19.0
980,16.0
981,21.0
982,19.0
983,16.0
984,20.0
985,19.0
986,20.0
987,21.0
988,17.0
989,21.0
990,19.0
991,17.0
992,18.0
993,21.0
994,19.0
995,18.0
996,21.0
997,20.0
998,20.0
999,17.0
1000,19.0
1001,20.0
1002,19.0
1003,16.0
1004,20.0
1005,20.0
1006,20.0
1007,16.0
1008,19.0
1009,16.0
1010,20.0
1011,19.0
1012,21.0
1013,15.0
1014,17.0
1015,21.0
1016,19.0
1017,14.0
1018,21.0
1019,19.0
1020,22.0
1021,13.0
1022,18.0
1023,22.0
1024,20.0
1025,12.0
1026,19.0
1027,19.0
1028,19.0
1029,12.0
1030,19.0
1031,19.0
1032,19.0
1033,13.0
1034,18.0
1035,20.0
1036,22.0
1037,14.0
1038,18.0
1039,18.0
1040,14.0
1041,20.0
1042,18.0
1043,18.0
1044,21.0
1045,14.0
1046,15.0
1047,18.0
1048,15.0
1049,15.0
1050,19.0
1051,21.0
1052,15.0
1053,18.0
1054,15.0
1055,15.0
1056,18.0
1057,26.0
1058,14.0
1059,15.0
1060,17.0
1061,24.0
1062,14.0
1063,14.0
1064,25.0
1065,13.0
1066,17.0
1067,14.0
1068,25.0
1069,18.0
1070,14.0
1071,26.0
1072,15.0
1073,14.0
1074,19.0
1075,25.0
1076,15.0
1077,18.0
1078,16.0
1079,14.0
1080,24.0
1081,15.0
1082,14.0
1083,20.0
1084,15.0
1085,27.0
1086,14.0
1087,15.0
1088,20.0
1089,13.0
1090,27.0
1091,15.0
1092,13.0
1093,24.0
1094,22.0
1095,13.0
1096,24.0
1097,17.0
1098,21.0
1099,13.0
1100,17.0
1101,22.0
1102,22.0
1103,13.0
1104,21.0
1105,22.0
1106,18.0
1107,15.0
1108,22.0
1109,17.0
1110,14.0
1111,23.0
1112,17.0
1113,22.0
1114,23.0
1115,15.0
1116,16.0
1117,22.0
1118,21.0
1119,14.0
1120,21.0
1121,16.0
1122,21.0
1123,15.0
1124,15.0
1125,20.0
1126,21.0
1127,16.0
1128,21.0
1129,16.0
1130,21.0
1131,22.0
1132,16.0
1133,19.0
1134,17.0
1135,22.0
1136,19.0
1137,17.0
1138,17.0
1139,20.0
1140,20.0
1141,17.0
1142,19.0
1143,20.0
1144,21.0
1145,17.0
1146,16.0
1147,20.0
1148,19.0
1149,17.0
1150,18.0
1151,19.0
1152,18.0
1153,18.0
1154,18.0
1155,20.0
1156,20.0
1157,18.0
1158,17.0
1159,19.0
1160,18.0
1161,17.0
1162,19.0
1163,17.0
1164,18.0
1165,18.0
1166,19.0
1167,19.0
1168,18.0
1169,17.0
1170,18.0
1171,19.0
1172,16.0
1173,18.0
1174,17.0
1175,19.0
1176,18.0
1177,16.0
1178,18.0
1179,19.0
1180,15.0
1181,18.0
1182,18.0
1183,18.0
1184,16.0
1185,14.0
1186,15.0
1187,18.0
1188,16.0
1189,14.0
1190,16.0
1191,16.0
1192,18.0
1193,16.0
1194,17.0
1195,16.0
1196,19.0
1197,16.0
1198,17.0
1199,17.0
1200,19.0
1201,17.0
1202,18.0
1203,20.0
1204,15.0
1205,23.0
1206,19.0
1207,19.0
1208,21.0
1209,17.0
1210,18.0
1211,19.0
1212,21.0
1213,20.0
1214,22.0
1215,22.0
1216,22.0
1217,20.0
1218,21.0
1219,20.0
1220,23.0
1221,23.0
1222,19.0
1223,24.0
1224,25.0
1225,17.0
1226,25.0
1227,24.0
1228,24.0
1229,18.0
1230,25.0
1231,26.0
1232,26.0
1233,25.0
1234,17.0
1235,25.0
1236,27.0
1237,17.0
1238,25.0
1239,25.0
1240,17.0
1241,26.0
1242,25.0
1243,24.0
1244,24.0
1245,17.0
1246,25.0
1247,24.0
1248,18.0
1249,25.0
1250,25.0
1251,28.0
1252,22.0
1253,17.0
1254,25.0
1255,22.0
1256,17.0
1257,22.0
1258,25.0
1259,23.0
1260,17.0
1261,21.0
1262,25.0
1263,18.0
1264,20.0
1265,25.0
1266,21.0
1267,19.0
1268,20.0
1269,25.0
1270,23.0
1271,17.0
1272,18.0
1273,22.0
1274,24.0
1275,18.0
1276,22.0
1277,17.0
1278,17.0
1279,24.0
1280,17.0
1281,23.0
1282,24.0
1283,18.0
1284,17.0
1285,24.0
1286,17.0
1287,24.0
1288,23.0
1289,17.0
1290,18.0
1291,24.0
1292,22.0
1293,17.0
1294,19.0
1295,23.0
1296,19.0
1297,21.0
1298,19.0
1299,24.0
1300,19.0
1301,18.0
1302,24.0
1303,19.0
1304,21.0
1305,23.0
1306,17.0
1307,18.0
1308,20.0
1309,22.0
1310,18.0
1311,16.0
1312,22.0
1313,22.0
1314,20.0
1315,16.0
1316,21.0
1317,24.0
1318,21.0
1319,19.0
1320,16.0
1321,20.0
1322,20.0
1323,17.0
1324,21.0
1325,19.0
1326,18.0
1327,17.0
1328,21.0
1329,19.0
1330,18.0
1331,17.0
1332,19.0
1333,17.0
1334,21.0
1335,18.0
1336,18.0
1337,19.0
1338,18.0
1339,19.0
1340,19.0
1341,17.0
1342,20.0
1343,18.0
1344,18.0
1345,20.0
1346,18.0
1347,21.0
1348,18.0
1349,21.0
1350,19.0
1351,18.0
1352,20.0
1353,20.0
1354,20.0
1355,24.0
1356,18.0
1357,19.0
1358,18.0
1359,25.0
1360,20.0
1361,16.0
1362,19.0
1363,26.0
1364,22.0
1365,26.0
1366,21.0
1367,16.0
1368,21.0
1369,22.0
1370,18.0
1371,26.0
1372,18.0
1373,22.0
1374,28.0
1375,23.0
1376,23.0
1377,20.0
1378,22.0
1379,33.0
1380,21.0
1381,21.0
1382,34.0
1383,21.0
1384,31.0
1385,34.0
1386,20.0
1387,31.0
1388,22.0
1389,20.0
1390,30.0
1391,22.0
1392,32.0
1393,20.0
1394,21.0
1395,32.0
1396,31.0
1397,18.0
1398,30.0
1399,22.0
1400,32.0
1401,22.0
1402,18.0
1403,28.0
1404,33.0
1405,17.0
1406,21.0
1407,32.0
1408,25.0
1409,19.0
1410,17.0
1411,25.0
1412,19.0
1413,31.0
1414,24.0
1415,17.0
1416,29.0
1417,19.0
1418,22.0
1419,17.0
1420,16.0
1421,29.0
1422,21.0
1423,15.0
1424,30.0
1425,17.0
1426,15.0
1427,22.0
1428,17.0
1429,28.0
1430,15.0
1431,16.0
1432,18.0
1433,19.0
1434,14.0
1435,18.0
1436,17.0
1437,19.0
1438,14.0
1439,17.0
1440,17.0
1441,18.0
1442,14.0
1443,16.0
1444,15.0
1445,18.0
1446,14.0
1447,18.0
1448,15.0
1449,14.0
1450,17.0
1451,17.0
1452,14.0
1453,14.0
1454,16.0
1455,14.0
1456,14.0
1457,18.0
1458,16.0
1459,13.0
1460,20.0
1461,16.0
1462,15.0
1463,13.0
1464,18.0
1465,14.0
1466,25.0
1467,18.0
1468,14.0
1469,22.0
1470,17.0
1471,26.0
1472,19.0
1473,14.0
1474,17.0
1475,26.0
1476,20.0
1477,15.0
1478,19.0
1479,17.0
1480,14.0
1481,27.0
1482,17.0
1483,18.0
1484,25.0
1485,14.0
1486,17.0
1487,19.0
1488,14.0
1489,16.0
1490,26.0
1491,19.0
1492,13.0
1493,27.0
1494,16.0
1495,20.0
1496,13.0
1497,16.0
1498,26.0
1499,20.0
1500,13.0
1501,27.0
1502,16.0
1503,25.0
1504,14.0
1505,24.0
1506,14.0
1507,23.0
1508,13.0
1509,15.0
1510,23.0
1511,23.0
1512,15.0
1513,13.0
1514,25.0
1515,22.0
1516,14.0
1517,15.0
1518,16.0
1519,21.0
1520,15.0
1521,15.0
1522,16.0
1523,21.0
1524,15.0
1525,15.0
1526,16.0
1527,22.0
1528,15.0
1529,15.0
1530,15.0
1531,22.0
1532,14.0
1533,16.0
1534,17.0
1535,21.0
1536,16.0
1537,14.0
1538,21.0
1539,18.0
1540,13.0
1541,21.0
1542,18.0
1543,20.0
1544,14.0
1545,20.0
1546,22.0
1547,20.0
1548,15.0
1549,20.0
1550,16.0
1551,16.0
1552,22.0
1553,26.0
1554,16.0
1555,15.0
1556,21.0
1557,25.0
1558,16.0
1559,21.0
1560,16.0
1561,16.0
1562,27.0
1563,22.0
1564,27.0
1565,18.0
1566,19.0
1567,21.0
1568,26.0
1569,17.0
1570,21.0
1571,26.0
1572,17.0
1573,19.0
1574,26.0
1575,19.0
1576,21.0
1577,17.0
1578,25.0
1579,21.0
1580,21.0
1581,25.0
1582,20.0
1583,22.0
1584,26.0
1585,20.0
1586,26.0
1587,25.0
1588,21.0
1589,20.0
1590,20.0
1591,26.0
1592,22.0
1593,20.0
1594,19.0
1595,27.0
1596,22.0
1597,21.0
1598,15.0
1599,21.0
1600,25.0
1601,20.0
1602,25.0
1603,14.0
1604,21.0
1605,19.0
1606,15.0
1607,26.0
1608,23.0
1609,15.0
1610,21.0
1611,25.0
1612,16.0
1613,21.0
1614,19.0
1615,22.0
1616,25.0
1617,20.0
1618,19.0
1619,21.0
1620,25.0
1621,20.0
1622,22.0
1623,18.0
1624,24.0
1625,18.0
1626,21.0
1627,24.0
1628,19.0
1629,19.0
1630,22.0
1631,25.0
1632,20.0
1633,21.0
1634,23.0
1635,18.0
1636,20.0
1637,20.0
1638,24.0
1639,17.0
1640,21.0
1641,20.0
1642,25.0
1643,19.0
1644,20.0
1645,21.0
1646,18.0
1647,20.0
1648,27.0
1649,20.0
1650,18.0
1651,25.0
1652,20.0
1653,18.0
1654,20.0
1655,25.0
1656,20.0
1657,16.0
1658,24.0
1659,20.0
1660,20.0
1661,16.0
1662,25.0
1663,21.0
1664,21.0
1665,24.0
1666,20.0
1667,16.0
1668,19.0
1669,23.0
1670,18.0
1671,15.0
1672,23.0
1673,19.0
1674,15.0
1675,18.0
1676,19.0
1677,23.0
1678,17.0
1679,14.0
1680,17.0
1681,21.0
1682,17.0
1683,14.0
1684,16.0
1685,21.0
1686,18.0
1687,14.0
1688,15.0
1689,20.0
1690,14.0
1691,19.0
1692,13.0
1693,20.0
1694,13.0
1695,14.0
1696,21.0
1697,22.0
1698,13.0
1699,14.0
1700,22.0
1701,20.0
1702,20.0
1703,14.0
1704,19.0
1705,17.0
1706,15.0
1707,20.0
1708,19.0
1709,17.0
1710,21.0
1711,19.0
1712,17.0
1713,18.0
1714,19.0
1715,16.0
1716,21.0
1717,16.0
1718,16.0
1719,23.0
1720,15.0
1721,20.0
1722,23.0
1723,17.0
1724,15.0
1725,21.0
1726,22.0
1727,21.0
1728,15.0
1729,18.0
1730,21.0
1731,22.0
1732,16.0
1733,19.0
1734,22.0
1735,19.0
1736,17.0
1737,19.0
1738,22.0
1739,16.0
1740,20.0
1741,18.0
1742,23.0
1743,20.0
1744,16.0
1745,23.0
1746,19.0
1747,20.0
1748,15.0
1749,22.0
1750,19.0
1751,19.0
1752,15.0
1753,19.0
1754,23.0
1755,16.0
1756,17.0
1757,19.0
1758,23.0
1759,16.0
1760,22.0
1761,17.0
1762,18.0
1763,16.0
1764,22.0
1765,17.0
1766,19.0
1767,16.0
1768,22.0
1769,19.0
1770,15.0
1771,17.0
1772,23.0
1773,20.0
1774,18.0
1775,15.0
1776,22.0
1777,18.0
1778,18.0
1779,14.0
1780,19.0
1781,19.0
1782,18.0
1783,14.0
1784,18.0
1785,17.0
1786,19.0
1787,18.0
1788,16.0
1789,17.0
1790,19.0
1791,16.0
1792,21.0
1793,16.0
1794,19.0
1795,16.0
1796,20.0
1797,18.0
1798,16.0
1799,18.0
1800,16.0
1801,18.0
1802,16.0
1803,18.0
1804,17.0
1805,17.0
1806,18.0
1807,17.0
1808,16.0
1809,19.0
1810,17.0
1811,19.0
1812,17.0
1813,18.0
1814,18.0
1815,19.0
1816,16.0
1817,18.0
1818,19.0
1819,16.0
1820,16.0
1821,18.0
1822,19.0
1823,16.0
1824,18.0
1825,18.0
1826,18.0
1827,17.0
1828,20.0
1829,19.0
1830,16.0
1831,21.0
1832,23.0
1833,14.0
1834,19.0
1835,21.0
1836,21.0
1837,19.0
1838,14.0
1839,22.0
1840,19.0
1841,15.0
1842,19.0
1843,20.0
1844,15.0
1845,21.0
1846,20.0
1847,19.0
1848,15.0
1849,22.0
1850,19.0
1851,18.0
1852,16.0
1853,17.0
1854,22.0
1855,20.0
1856,22.0
1857,17.0
1858,16.0
1859,20.0
1860,22.0
1861,17.0
1862,18.0
1863,22.0
1864,21.0
1865,18.0
1866,16.0
1867,22.0
1868,19.0
1869,14.0
1870,17.0
1871,19.0
1872,21.0
1873,14.0
1874,19.0
1875,13.0
1876,19.0
1877,19.0
1878,20.0
1879,20.0
1880,14.0
1881,21.0
1882,16.0
1883,14.0
1884,20.0
1885,15.0
1886,21.0
1887,14.0
1888,21.0
1889,19.0
1890,16.0
1891,17.0
1892,22.0
1893,19.0
1894,17.0
1895,17.0
1896,25.0
1897,18.0
1898,22.0
1899,19.0
1900,18.0
1901,25.0
1902,21.0
1903,18.0
1904,25.0
1905,18.0
1906,21.0
1907,18.0
1908,19.0
1909,24.0
1910,19.0
1911,20.0
1912,24.0
1913,18.0
1914,18.0
1915,20.0
1916,18.0
1917,25.0
1918,19.0
1919,20.0
1920,18.0
1921,20.0
1922,26.0
1923,16.0
1924,19.0
1925,21.0
1926,26.0
1927,16.0
1928,20.0
1929,20.0
1930,25.0
1931,20.0
1932,20.0
1933,16.0
1934,23.0
1935,19.0
1936,14.0
1937,18.0
1938,22.0
1939,20.0
1940,14.0
1941,23.0
1942,22.0
1943,20.0
1944,14.0
1945,22.0
1946,18.0
1947,20.0
1948,14.0
1949,20.0
1950,20.0
1951,18.0
1952,20.0
1953,15.0
1954,18.0
1955,21.0
1956,15.0
1957,19.0
1958,18.0
1959,15.0
1960,21.0
1961,16.0
1962,20.0
1963,15.0
1964,22.0
1965,19.0
1966,16.0
1967,15.0
1968,22.0
1969,18.0
1970,14.0
1971,19.0
1972,15.0
1973,14.0
1974,17.0
1975,16.0
1976,20.0
1977,16.0
1978,13.0
1979,18.0
1980,21.0
1981,20.0
1982,15.0
1983,17.0
1984,21.0
1985,17.0
1986,15.0
1987,20.0
1988,15.0
1989,19.0
1990,22.0
1991,16.0
1992,18.0
1993,14.0
1994,17.0
1995,21.0
1996,14.0
