,wait
1123,12.0
1124,13.0
1125,11.0
1126,11.0
1127,13.0
1128,11.0
1129,11.0
1130,11.0
1131,13.0
1132,11.0
1133,11.0
1134,11.0
1135,12.0
1136,11.0
1137,11.0
1138,11.0
1139,11.0
1140,12.0
1141,11.0
1142,11.0
1143,11.0
1144,11.0
1145,11.0
1146,12.0
1147,11.0
1148,11.0
1149,11.0
1150,11.0
1151,12.0
1152,11.0
1153,11.0
1154,11.0
1155,11.0
1156,11.0
1157,11.0
1158,13.0
1159,11.0
1160,13.0
1161,11.0
1162,11.0
1163,11.0
1164,11.0
1165,12.0
1166,13.0
1167,11.0
1168,11.0
1169,13.0
1170,12.0
1171,11.0
1172,11.0
1173,13.0
1174,12.0
1175,11.0
1176,13.0
1177,11.0
1178,11.0
1179,13.0
1180,11.0
1181,13.0
1182,11.0
1183,14.0
1184,13.0
1185,11.0
1186,13.0
1187,14.0
1188,11.0
1189,11.0
1190,14.0
1191,12.0
1192,14.0
1193,11.0
1194,12.0
1195,13.0
1196,14.0
1197,12.0
1198,13.0
1199,12.0
1200,12.0
1201,14.0
1202,12.0
1203,12.0
1204,12.0
1205,12.0
1206,13.0
1207,12.0
1208,12.0
1209,13.0
1210,12.0
1211,12.0
1212,12.0
1213,13.0
1214,12.0
1215,12.0
1216,12.0
1217,13.0
1218,12.0
1219,12.0
1220,13.0
1221,12.0
1222,12.0
1223,13.0
1224,12.0
1225,12.0
1226,12.0
1227,12.0
1228,12.0
1229,13.0
1230,12.0
1231,12.0
1232,12.0
1233,12.0
1234,12.0
1235,12.0
1236,12.0
1237,12.0
1238,12.0
1239,11.0
1240,12.0
1241,11.0
1242,11.0
1243,11.0
1244,12.0
1245,11.0
1246,11.0
1247,11.0
1248,14.0
1249,11.0
1250,14.0
1251,14.0
1252,11.0
1253,14.0
1254,14.0
1255,11.0
1256,14.0
1257,14.0
1258,11.0
1259,14.0
1260,11.0
1261,11.0
1262,14.0
1263,14.0
1264,11.0
1265,11.0
1266,14.0
1267,13.0
1268,11.0
1269,11.0
1270,11.0
1271,13.0
1272,11.0
1273,13.0
1274,13.0
1275,11.0
1276,11.0
1277,13.0
1278,11.0
1279,11.0
1280,13.0
1281,13.0
1282,11.0
1283,13.0
1284,11.0
1285,13.0
1286,11.0
1287,13.0
1288,13.0
1289,11.0
1290,11.0
1291,11.0
1292,11.0
1293,11.0
1294,11.0
1295,11.0
1296,11.0
1297,11.0
1298,11.0
1299,11.0
1300,11.0
1301,11.0
1302,11.0
1303,11.0
1304,11.0
1305,11.0
1306,11.0
1307,11.0
1308,11.0
1309,11.0
1310,11.0
1311,11.0
1312,12.0
1313,11.0
1314,13.0
1315,12.0
1316,11.0
1317,11.0
1318,11.0
1319,13.0
1320,11.0
1321,12.0
1322,13.0
1323,11.0
1324,11.0
1325,12.0
1326,13.0
1327,11.0
1328,12.0
1329,13.0
1330,11.0
1331,11.0
1332,12.0
1333,13.0
1334,13.0
1335,11.0
1336,11.0
1337,13.0
1338,12.0
1339,11.0
1340,12.0
1341,13.0
1342,11.0
1343,11.0
1344,11.0
1345,13.0
1346,13.0
1347,13.0
1348,13.0
1349,13.0
1350,11.0
1351,13.0
1352,11.0
1353,13.0
1354,13.0
1355,13.0
1356,12.0
1357,11.0
1358,13.0
1359,11.0
1360,11.0
1361,12.0
1362,11.0
1363,13.0
1364,12.0
1365,12.0
1366,12.0
1367,11.0
1368,13.0
1369,13.0
1370,13.0
1371,13.0
1372,13.0
1373,13.0
1374,12.0
1375,13.0
1376,13.0
1377,12.0
1378,13.0
1379,13.0
1380,12.0
1381,12.0
1382,14.0
1383,13.0
1384,13.0
1385,15.0
1386,12.0
1387,12.0
1388,13.0
1389,12.0
1390,13.0
1391,13.0
1392,13.0
1393,12.0
1394,13.0
1395,12.0
1396,12.0
1397,13.0
1398,13.0
1399,13.0
1400,12.0
1401,12.0
1402,13.0
1403,13.0
1404,13.0
1405,12.0
1406,13.0
1407,12.0
1408,11.0
1409,12.0
1410,13.0
1411,13.0
1412,11.0
1413,13.0
1414,13.0
1415,11.0
1416,13.0
1417,13.0
1418,12.0
1419,12.0
1420,13.0
1421,13.0
1422,12.0
1423,12.0
1424,13.0
