,wait
1210,20.0
1211,22.0
1212,21.0
1213,19.0
1214,20.0
1215,20.0
1216,17.0
1217,20.0
1218,19.0
1219,20.0
1220,17.0
1221,19.0
1222,17.0
1223,24.0
1224,19.0
1225,15.0
1226,18.0
1227,22.0
1228,19.0
1229,14.0
1230,23.0
1231,20.0
1232,15.0
1233,15.0
1234,21.0
1235,14.0
1236,15.0
1237,20.0
1238,21.0
1239,13.0
1240,14.0
1241,19.0
1242,20.0
1243,13.0
1244,22.0
1245,15.0
1246,13.0
1247,19.0
1248,22.0
1249,13.0
1250,12.0
1251,21.0
1252,19.0
1253,12.0
1254,13.0
1255,12.0
1256,20.0
1257,12.0
1258,20.0
1259,13.0
1260,17.0
1261,20.0
1262,19.0
1263,13.0
1264,18.0
1265,15.0
1266,13.0
1267,18.0
1268,15.0
1269,15.0
1270,20.0
1271,16.0
1272,14.0
1273,15.0
1274,21.0
1275,16.0
1276,15.0
1277,14.0
1278,15.0
1279,17.0
1280,21.0
1281,15.0
1282,16.0
1283,15.0
1284,14.0
1285,17.0
1286,21.0
1287,14.0
1288,15.0
1289,17.0
1290,24.0
1291,24.0
1292,15.0
1293,16.0
1294,17.0
1295,24.0
1296,16.0
1297,16.0
1298,19.0
1299,22.0
1300,17.0
1301,14.0
1302,18.0
1303,21.0
1304,15.0
1305,19.0
1306,22.0
1307,17.0
1308,15.0
1309,18.0
1310,22.0
1311,15.0
1312,18.0
1313,17.0
1314,19.0
1315,18.0
1316,20.0
1317,15.0
1318,18.0
1319,14.0
1320,19.0
1321,20.0
1322,14.0
1323,20.0
1324,19.0
1325,15.0
1326,20.0
1327,20.0
1328,20.0
1329,18.0
1330,20.0
1331,14.0
1332,17.0
1333,20.0
1334,20.0
1335,18.0
1336,16.0
1337,22.0
1338,19.0
1339,17.0
1340,22.0
1341,20.0
1342,18.0
1343,19.0
1344,17.0
1345,20.0
1346,21.0
1347,19.0
1348,19.0
1349,22.0
1350,20.0
1351,18.0
1352,17.0
1353,22.0
1354,21.0
1355,15.0
1356,22.0
1357,19.0
1358,15.0
