,wait
758,27.0
759,31.0
760,27.0
761,27.0
762,28.0
763,31.0
764,27.0
765,23.0
766,30.0
767,32.0
768,21.0
769,27.0
770,27.0
771,31.0
772,23.0
773,25.0
774,31.0
775,25.0
776,24.0
777,26.0
778,27.0
779,23.0
780,30.0
781,30.0
782,29.0
783,19.0
784,30.0
785,22.0
786,28.0
787,31.0
788,23.0
789,30.0
790,25.0
791,26.0
792,23.0
793,30.0
794,39.0
795,24.0
796,21.0
797,31.0
798,24.0
799,25.0
800,39.0
801,40.0
802,24.0
803,27.0
804,40.0
805,25.0
806,25.0
807,29.0
808,22.0
809,27.0
810,39.0
811,23.0
812,27.0
813,30.0
814,26.0
815,37.0
816,45.0
817,25.0
818,37.0
819,49.0
820,27.0
821,30.0
822,24.0
823,36.0
824,24.0
825,30.0
826,50.0
827,24.0
828,37.0
829,32.0
830,22.0
831,53.0
832,38.0
833,32.0
834,21.0
835,35.0
836,34.0
837,23.0
838,51.0
839,33.0
840,22.0
841,58.0
842,36.0
843,34.0
844,22.0
845,34.0
846,41.0
847,45.0
848,21.0
849,39.0
850,30.0
851,45.0
852,28.0
853,23.0
854,28.0
855,42.0
856,34.0
857,28.0
858,21.0
859,37.0
860,44.0
861,21.0
862,23.0
863,47.0
864,23.0
865,31.0
866,22.0
867,23.0
868,40.0
869,34.0
870,21.0
871,40.0
872,22.0
873,38.0
874,19.0
875,41.0
876,25.0
877,36.0
878,23.0
879,34.0
880,19.0
881,35.0
882,22.0
883,34.0
884,23.0
885,23.0
886,22.0
887,36.0
888,34.0
889,23.0
890,22.0
891,31.0
892,23.0
893,32.0
894,33.0
895,31.0
896,25.0
897,24.0
898,33.0
899,31.0
900,19.0
901,28.0
902,32.0
903,27.0
904,29.0
905,20.0
906,29.0
907,32.0
908,24.0
909,26.0
910,32.0
911,30.0
912,31.0
913,24.0
914,33.0
915,24.0
916,23.0
917,25.0
918,32.0
919,28.0
920,25.0
921,31.0
922,23.0
923,24.0
924,31.0
925,32.0
926,26.0
927,34.0
928,27.0
929,25.0
930,21.0
931,25.0
932,24.0
933,27.0
934,30.0
935,26.0
936,19.0
937,34.0
938,23.0
939,24.0
940,29.0
941,23.0
942,26.0
943,34.0
944,30.0
945,26.0
946,38.0
947,28.0
948,22.0
949,35.0
950,25.0
951,24.0
952,24.0
953,35.0
954,25.0
955,26.0
956,25.0
957,35.0
958,22.0
959,26.0
960,30.0
961,27.0
962,24.0
963,25.0
964,30.0
965,30.0
966,24.0
967,26.0
968,27.0
969,32.0
970,28.0
971,27.0
972,26.0
973,27.0
974,25.0
975,28.0
976,25.0
977,32.0
978,27.0
979,35.0
980,34.0
981,26.0
982,30.0
983,26.0
984,26.0
985,28.0
986,30.0
987,34.0
988,28.0
989,23.0
990,33.0
991,23.0
992,26.0
993,23.0
994,33.0
995,25.0
996,26.0
997,35.0
998,21.0
999,30.0
1000,26.0
1001,30.0
1002,16.0
1003,24.0
1004,31.0
1005,30.0
1006,18.0
1007,24.0
1008,34.0
1009,32.0
1010,21.0
1011,35.0
1012,35.0
1013,22.0
1014,36.0
1015,22.0
1016,23.0
1017,33.0
1018,34.0
1019,29.0
1020,21.0
1021,35.0
1022,19.0
1023,32.0
1024,30.0
1025,33.0
1026,19.0
1027,32.0
1028,31.0
1029,36.0
1030,30.0
1031,20.0
1032,38.0
1033,22.0
1034,35.0
1035,22.0
1036,32.0
1037,32.0
1038,40.0
1039,22.0
1040,25.0
1041,33.0
1042,21.0
1043,26.0
1044,19.0
1045,37.0
1046,17.0
1047,33.0
1048,21.0
1049,40.0
1050,17.0
1051,25.0
1052,43.0
1053,37.0
1054,18.0
1055,25.0
1056,19.0
1057,46.0
1058,43.0
1059,27.0
1060,17.0
