,Rewards,Steps,WaitTime
591,-291.99,153,19.37
592,-882.41,125,16.1
593,-538.57,131,18.03
594,-490.15,154,18.5
595,-280.29,129,16.03
596,-530.83,138,15.15
597,-430.18,138,15.92
598,-330.12,132,16.14
599,-578.86,148,15.22
600,-874.06,136,14.0
601,-430.7,139,16.69
602,-783.85,139,17.09
603,-531.52,157,16.3
604,-525.01,132,14.78
605,-580.58,129,16.68
606,-822.93,125,14.09
607,-480.98,132,16.91
608,-975.96,121,15.06
609,-627.18,128,14.34
610,-689.31,149,17.94
611,-730.86,134,15.65
612,-373.99,148,14.28
613,-223.47,126,13.97
614,-381.96,128,15.68
615,-425.56,126,15.16
616,-673.1,131,14.12
617,-528.88,129,15.52
618,-131.26,136,15.18
619,-727.37,121,15.35
620,-374.98,142,14.56
621,-675.56,136,14.51
622,-178.17,137,15.91
623,-323.94,129,14.07
624,-427.09,137,15.09
625,-478.41,143,15.83
626,-626.06,136,15.51
627,-433.07,147,16.56
628,-228.46,133,15.39
629,-576.8,131,14.92
630,-278.34,136,14.55
631,-129.57,123,15.21
632,-377.06,129,15.27
633,-233.42,138,17.84
634,-477.66,135,15.18
635,-781.91,124,15.94
636,-624.72,132,14.75
637,-525.82,143,14.48
638,-483.58,131,16.47
639,-175.07,154,14.35
640,-426.44,129,14.2
641,-731.14,139,15.7
642,-432.44,144,16.07
643,-225.75,140,14.78
644,-332.39,152,15.85
645,-276.81,136,15.19
646,-280.2,127,15.9
647,-728.35,132,15.96
648,-427.13,151,15.09
649,-632.3,144,16.36
650,-326.75,130,15.24
651,-575.44,145,14.43
652,-318.08,121,12.05
653,-387.08,152,17.25
654,-632.84,142,15.76
655,-977.3,130,14.9
656,-325.1,140,14.65
657,-428.59,134,15.55
658,-528.44,148,15.27
659,-384.83,123,16.75
660,-281.59,132,17.35
661,-475.7,133,14.18
662,-729.81,120,15.47
663,-231.2,147,15.62
664,-178.9,146,15.58
665,-588.03,143,17.56
666,-241.59,145,18.99
667,-529.66,140,16.43
668,-434.45,131,16.89
669,-325.96,124,14.95
670,-424.76,128,14.49
671,-525.93,147,15.22
672,-479.94,132,15.64
673,-481.87,133,16.26
674,-784.99,149,16.56
675,-438.52,138,18.39
676,-332.74,132,16.68
677,-428.31,136,15.38
678,-333.75,147,17.01
679,-323.94,124,14.32
680,-427.22,127,15.13
681,-378.75,136,15.92
682,-180.34,158,15.67
683,-478.85,136,15.61
684,-726.14,135,15.59
685,-521.74,116,13.33
686,-778.74,136,14.96
687,-326.32,120,14.49
688,-480.54,151,16.42
689,-343.86,172,19.48
690,-722.54,122,13.76
691,-174.71,128,14.71
692,-435.83,152,17.65
693,-425.52,125,15.23
694,-432.49,142,16.25
695,-230.46,133,15.55
696,-486.99,153,18.05
697,-232.26,132,16.15
698,-127.13,148,14.54
699,-625.76,130,14.94
700,-332.47,154,16.82
701,-433.64,127,16.36
702,-586.18,167,16.44
703,-781.93,150,16.53
704,-226.78,119,15.37
705,-629.35,132,15.44
706,-624.22,145,14.39
707,-828.16,144,14.81
708,-332.31,155,16.65
709,-929.56,131,15.2
710,-777.72,132,14.86
711,-176.78,126,14.73
712,-331.19,150,16.08
713,-126.67,123,14.36
714,-428.84,145,15.44
715,-672.49,119,13.25
716,-225.79,144,14.8
717,-528.63,127,16.25
718,-181.54,127,15.5
719,-382.01,182,15.81
720,-473.63,160,14.51
721,-130.1,147,15.09
722,-623.98,129,13.73
723,-331.39,145,16.92
724,-377.13,144,15.08
725,-274.56,130,14.32
726,-533.08,130,16.94
727,-833.76,146,16.45
728,-231.61,138,15.77
729,-426.43,136,15.35
730,-528.62,137,15.49
731,-327.53,136,15.39
732,-275.06,126,14.59
733,-434.35,138,17.89
734,-484.18,125,16.64
735,-479.71,139,16.22
736,-123.45,124,13.78
737,-373.13,123,14.37
738,-676.49,128,15.08
739,-327.42,131,15.7
740,-778.88,144,15.69
741,-772.33,132,13.36
742,-527.52,136,15.37
743,-726.81,144,14.35
744,-681.49,147,15.67
745,-573.99,130,14.18
746,-587.8,147,17.02
747,-378.94,133,16.19
748,-124.75,137,14.46
749,-530.9,156,16.55
750,-476.0,129,14.73
751,-326.85,139,15.13
752,-379.19,129,15.37
753,-491.25,161,18.58
754,-177.39,159,14.75
755,-324.97,133,14.69
756,-229.45,150,15.98
757,-229.49,127,15.77
758,-1073.81,126,14.1
759,-325.13,133,14.03
760,-575.59,126,14.29
761,-577.14,126,15.37
762,-584.74,129,17.7
763,-135.75,146,16.28
764,-194.09,184,18.91
765,-633.14,155,16.59
766,-372.03,131,13.04
767,-474.74,120,14.94
768,-526.87,125,14.82
769,-382.26,131,16.52
770,-378.66,144,15.5
771,-522.2,128,13.43
772,-537.55,158,17.25
773,-235.28,140,17.68
774,-529.09,129,15.45
775,-485.0,146,17.5
776,-224.74,139,14.35
777,-428.35,124,15.21
778,-323.33,129,13.67
779,-431.81,130,16.96
780,-328.87,145,15.15
781,-632.44,161,16.52
782,-480.51,143,15.7
783,-579.76,137,15.99
784,-226.35,130,15.56
785,-382.06,130,16.37
786,-92.01,159,19.19
787,-326.15,126,15.08
788,-332.38,139,16.75
789,-290.25,163,18.26
790,-133.58,134,16.72
791,-184.59,130,17.08
792,-385.36,134,17.14
793,-323.44,130,14.42
794,-330.0,147,15.81
795,-378.85,139,15.46
796,-532.23,145,16.79
797,-536.56,167,16.12
798,-177.8,138,14.46
799,-378.97,132,15.62
800,-530.42,136,15.54
801,-477.99,142,15.87
802,-223.78,137,14.4
803,-770.98,126,13.25
804,-132.59,168,16.28
805,-745.92,155,19.05
806,-436.17,146,17.18
807,-228.29,129,15.77
