,Rewards,Steps,WaitTime
141,-2572.1940620046853,342,68.09
142,-2880.2295413842157,276,65.73
143,-2139.2327044180447,282,58.94
144,-1515.083999117177,300,66.33
145,-2327.7913152459164,270,66.6
146,-1394.6117318546903,325,68.17
147,-1775.5982516618908,265,59.44
148,-913.4733794520678,313,76.72
149,-2159.2878507778605,282,60.43
150,-1311.1751885494032,309,70.77
151,-2414.9353122246275,310,71.82
152,-1397.9868925763733,288,69.98
153,-2797.0265389950514,319,72.43
154,-1589.4995820936203,293,64.72
155,-1255.512656525806,346,59.36
156,-1793.4671036398493,302,67.5
157,-1874.9024243416322,274,63.15
158,-1707.0355390511133,296,67.7
159,-2476.8611394177656,277,62.36
160,-2105.8353143617187,293,68.95
161,-2095.742955246265,286,65.46
162,-1956.946490982667,315,58.02
163,-1759.7123856225155,299,61.9
164,-1973.2492422195633,290,64.46
165,-2387.6948843988935,277,64.21
166,-1444.6072653299736,260,59.62
167,-1792.4221962850247,313,65.93
168,-2599.7064783177043,288,71.89
169,-2486.4152766835346,307,69.44
170,-1817.346192652242,298,71.32
171,-2610.480716918632,346,66.62
172,-2044.5072184503122,292,79.2
173,-1763.7845029710288,286,64.57
174,-2255.607669152371,357,78.83
175,-1353.130328864217,294,62.3
176,-1933.1677000011746,282,56.22
177,-2819.8765589598484,280,56.01
178,-1421.5210104084365,271,73.46
179,-1187.1647656936182,294,69.36
180,-1486.1950812390962,327,69.04
181,-819.8120365856445,299,56.81
182,-1803.0650748982994,291,66.56
183,-2075.7536573698912,258,62.03
184,-1124.1745674771219,270,66.91
185,-2004.2595351067357,311,69.26
186,-1386.6031207950448,301,66.69
187,-1154.6290885867231,284,61.03
188,-2291.414259372843,344,69.14
189,-2415.5526034177046,292,70.48
190,-2799.735310896953,310,67.14
191,-2302.711455021628,306,70.73
192,-1090.6125250129212,298,71.79
193,-2099.890403426698,330,71.46
194,-857.7695952517206,325,63.57
195,-1885.1283410872038,269,69.58
196,-859.0383642933593,332,62.25
197,-1895.4696648608317,302,62.96
198,-1876.3370624812317,286,67.17
199,-1892.884552603073,296,65.41
200,-1608.1263828687174,312,66.15
201,-2096.9169521428375,310,66.68
202,-1859.7728778772978,266,61.21
203,-1986.3609576864314,296,66.23
204,-1592.540303619111,313,69.32
205,-1504.0500039181613,334,69.64
206,-1245.2622184951347,336,83.8
207,-2219.4114661212525,293,68.05
208,-1826.756448109027,277,54.53
209,-1255.272038947104,303,64.47
210,-1165.4671601528985,301,67.18
211,-2281.9970448087543,311,67.16
212,-2109.783925452424,342,72.88
213,-2359.024068400804,301,62.61
214,-2118.6428007214554,292,72.11
215,-1995.127544881099,303,65.1
216,-2330.5908034115423,319,71.78
217,-2506.3393460348743,276,68.25
218,-2460.567814579511,280,61.36
219,-2178.1914972326235,327,65.6
220,-1300.5769377037766,303,70.45
221,-1022.7195202047584,315,71.46
222,-1891.1668711494533,295,71.82
223,-1886.7927198486439,274,62.3
224,-886.3722638358131,343,69.66
225,-1885.7880696012899,279,61.47
226,-802.9636472037507,296,69.6
227,-1405.1588641382593,323,74.18
228,-1827.8018606952862,336,79.65
229,-1960.1523937963016,267,60.72
230,-2364.063990291538,263,62.91
231,-1572.1910598917273,292,63.71
232,-1996.485798541223,310,72.12
233,-1714.097919936718,291,70.89
234,-2722.2076487925947,295,73.32
235,-2925.8504413058968,285,75.39
236,-2452.203895640157,262,59.03
237,-2191.087970542042,302,62.25
238,-1817.7407343156308,308,68.52
239,-2465.1829446505953,318,61.2
240,-1976.5369902192447,303,59.38
241,-2456.9845448891224,265,56.61
242,-2721.87699127327,295,72.42
243,-2206.2627581317083,279,68.17
244,-1878.372675800116,283,65.77
245,-2598.985818378272,274,69.32
246,-2395.8612941169513,293,65.25
247,-1183.004665900022,335,68.83
248,-1951.9742603723614,308,59.24
249,-2078.417544480966,306,68.63
250,-1797.1687857538313,306,70.1
251,-1960.2902088410763,321,62.09
252,-2326.8355470624783,291,67.01
253,-1485.347440790467,304,70.57
254,-1787.7228513631946,302,70.09
255,-1558.0255897242923,251,60.59
256,-1181.8766578181467,281,61.49
257,-1383.3442277531099,302,62.14
258,-1360.1301435963223,322,62.19
259,-1195.2411557262237,319,66.49
260,-2709.7872776095405,285,72.81
261,-2560.399981698201,310,56.23
262,-2586.061641368368,308,67.42
263,-1101.2692134705792,304,67.31
264,-2264.9648373783666,294,63.86
265,-1064.5904804050585,279,69.02
266,-1718.5358443047592,297,75.89
267,-1687.922169287525,329,62.55
268,-886.3850328382882,286,60.66
269,-1533.3584056761863,342,70.55
270,-1298.7771384379917,295,72.4
271,-2055.3952274402673,362,76.54
272,-2768.661262195017,279,63.17
273,-2302.0571490795915,318,67.64
274,-619.1151750425996,333,75.81
275,-3194.2954619279253,250,62.41
276,-1034.9131133725639,310,77.19
277,-2005.442875422074,261,62.34
278,-1228.107936183554,319,79.04
279,-951.6417151097585,301,58.87
280,-2300.433171730801,295,65.81
281,-1015.6006208895988,296,71.55
282,-1006.3966236703803,320,73.92
283,-2727.08037701546,322,73.39
284,-2353.7290316068525,265,58.56
285,-3016.5649285356553,303,68.04
286,-659.6871503606098,291,60.2
287,-2600.0361911906916,283,66.43
288,-2671.7140561387987,279,63.28
289,-1114.9951649780182,307,73.99
290,-993.6048291085867,308,68.69
291,-995.6723210046271,286,64.34
292,-1124.1461368616351,353,75.74
293,-489.57569775817706,332,67.26
294,-1929.5297935840958,284,57.45
295,-2288.5394643664768,300,65.57
296,-1746.0427999190124,338,77.78
297,-1001.3427668168882,310,74.25
298,-3194.86573852909,296,66.86
299,-1714.977314094963,357,75.9
300,-2676.3936624765715,277,58.01
301,-1713.6540337347242,325,70.38
302,-1733.6416404896052,330,76.76
303,-1705.312857786337,297,73.02
304,-781.6326101514694,290,68.49
305,-584.5765790172331,304,66.4
306,-1083.9505241430918,358,71.71
307,-2002.001136026571,322,77.37
308,-1256.604853642992,297,60.75
309,-1046.7795561322841,247,58.43
310,-1440.334867651565,342,63.88
311,-2486.8059668030487,290,65.73
312,-2558.3155156269117,304,62.15
313,-1820.092953076904,294,70.88
314,-1081.3878412265458,316,67.17
315,-1504.0206448253603,269,70.92
316,-2178.069164820743,306,63.26
317,-1950.0190411141919,285,64.38
318,-1457.2101692423819,300,65.2
319,-2523.4433872228856,275,53.42
320,-1409.5085628112697,346,76.26
321,-994.6789688681187,316,67.93
322,-2500.852176907279,281,63.33
323,-1192.806611153123,324,68.74
324,-1947.0765772585855,302,66.22
325,-881.537767130816,331,71.54
326,-1747.8191592075666,290,60.79
327,-2063.613520542365,277,62.83
328,-2682.0952647225113,261,58.31
329,-1834.0038902855904,274,69.85
330,-2010.1405448595199,329,69.92
331,-2676.212198741607,262,64.54
332,-1890.580091140937,284,65.66
333,-1460.7680942746103,298,64.65
334,-1750.3384221676515,337,67.27
335,-3088.9106421988345,271,66.63
336,-2594.5728683428483,340,68.5
337,-1164.6543193903926,271,59.77
338,-1384.8553576969334,282,71.09
339,-1564.732277787101,297,60.83
340,-2614.130925429514,312,68.55
341,-2559.694515553613,290,62.11
342,-1565.8760778174574,311,59.25
343,-853.619044933041,325,61.81
344,-1003.2552611295264,303,72.84
345,-1862.0473110051234,297,67.94
346,-2825.74422120985,286,58.42
347,-3106.8797200591134,300,67.61
348,-3259.4995621378025,290,60.89
349,-1991.303281267836,279,66.1
350,-1159.0919911371475,355,60.29
351,-2343.9047899046864,281,74.15
352,-2561.827417931748,317,65.05
353,-2939.879476741651,299,76.33
354,-3109.2870838952604,306,71.21
355,-1288.7301725391094,281,62.2
356,-2293.216434532371,282,68.63
357,-2648.4073066598903,338,75.66
358,-2168.509438551871,329,78.51
359,-1649.5403295327224,293,70.73
360,-1462.6158612807587,298,62.61
361,-2163.6853841315674,309,66.19
362,-3499.274497895057,277,66.94
363,-2091.742812163771,278,67.16
364,-2013.55089055365,307,69.56
365,-2850.5417411965605,328,57.85
366,-2380.056991583407,275,64.08
367,-2433.0318077236147,304,72.73
368,-1119.5478408045428,324,75.57
369,-2667.9231321134675,286,65.8
370,-2067.925279492266,317,62.75
371,-1574.640332032973,331,70.33
372,-2265.5341201893816,262,63.42
373,-1215.7370683082434,299,70.87
374,-2850.4929896300664,307,70.33
375,-1572.04001180626,351,69.26
376,-1453.017501373127,294,76.87
377,-1494.4939063510308,301,68.46
378,-2878.850559955221,310,67.98
