,Rewards,Steps,WaitTime
507,-93.35,265,66.42
508,-30.35,228,52.08
509,-68.75,269,57.81
510,-93.21,295,57.09
511,-79.53,238,55.78
512,4.37,309,66.38
513,-62.91,254,54.05
514,16.18,274,50.84
515,-31.04,255,50.73
516,16.26,254,52.7
517,-42.04,226,53.39
518,-39.46,296,58.97
519,-76.24,256,53.63
520,-52.0,271,63.24
521,-88.21,285,59.85
522,-55.09,253,51.02
523,-65.73,257,57.87
524,-95.46,257,64.48
525,-23.22,256,55.39
526,-72.06,255,56.52
527,-71.31,262,47.9
528,-36.99,301,62.5
529,1.34,265,48.84
530,-107.09,249,60.26
531,-8.23,295,54.41
532,21.83,278,55.04
533,-64.07,239,51.13
534,-72.31,265,63.76
535,-6.15,232,47.77
536,-50.57,258,55.79
537,-45.81,277,54.15
538,-50.71,287,59.61
539,0.76,257,53.42
540,-42.68,260,48.26
541,-66.67,265,58.19
542,-45.76,299,59.51
543,-128.43,240,57.8
544,-22.89,248,44.13
545,-45.23,255,57.68
546,-23.55,272,52.44
547,-32.21,301,66.08
548,-58.1,262,64.22
549,-31.9,279,51.24
550,-18.31,315,69.42
551,-95.16,240,54.11
552,-79.13,244,55.31
553,-40.86,294,53.79
554,-4.53,234,48.25
555,-54.98,260,58.97
556,-39.12,236,47.77
557,-31.81,252,55.04
558,-48.9,282,53.77
559,-14.15,251,48.89
560,-53.6,303,55.86
561,-104.41,285,61.32
562,7.94,242,51.97
563,-10.72,262,50.21
564,-84.72,263,56.51
565,-41.33,304,53.62
566,-36.1,240,59.31
567,-57.59,266,59.86
568,-38.16,298,58.07
569,-26.18,283,44.47
570,-47.49,336,68.69
571,-23.71,259,59.0
572,-114.61,238,56.58
573,-13.29,268,52.21
574,-44.1,277,59.31
575,-36.84,234,50.54
576,-34.89,294,52.88
577,-81.63,275,61.86
578,-111.93,226,55.51
579,-31.61,262,51.88
580,-65.84,266,55.53
581,-42.62,303,60.95
582,-100.8,264,54.38
583,-25.16,234,51.04
584,-69.53,304,60.17
585,-42.59,298,63.47
586,-5.61,258,50.38
587,-69.9,291,55.61
588,-10.67,315,47.27
589,-39.02,255,50.82
590,-51.03,291,52.06
591,3.78,285,48.47
592,-42.57,280,61.8
593,-46.57,270,60.78
